NODE,mcc_mean,mcc_std,mcc_p10,mcc_p90,n
BPAT_NOB.LDWP-APND,0.0,0.0,0.0,0.0,96
BPAT_POPD-APND,0.0,0.0,0.0,0.0,96
BRODIE_2_WIND-APND,-5.804293958333333,11.777282337515237,-16.420365,0.0,96
BRP1_2_BEAVER1-7-APND,0.0,0.0,0.0,0.0,96
BSPO_1_TOT_GEN-APND,0.0,0.0,0.0,0.0,96
BST_1_17900_ANT_BST-APND,0.0,0.0,0.0,0.0,96
BUCKBL_2_PL1X3-APND,-3.7888163541666664,8.359959027511929,-9.703125,0.0,96
BUCKCK_7_PL1X2-APND,5.102540104166667,20.17848565432628,-10.67922,21.928455,96
BZ_7_STZ-TRPG-APND,0.0,0.0,0.0,0.0,96
CALGEN_1_UNITS-APND,-12.266014375,39.862464437093855,-27.52033,0.235615,96
CAMCHE_1_PL1X3-APND,7.960023437499999,16.917523410317163,-0.636875,23.310375,96
CANFERRY_1_CYFY-APND,0.0,0.0,0.0,0.0,96
CARBOU_7_PL2X3-APND,7.573913958333333,17.38578588124978,-1.8374700000000002,21.314055,96
CARBOU_7_PL4X5-APND,8.146135416666667,17.445716961480677,-0.06659000000000001,21.53297,96
CARLS1_2_CARCT1-APND,-4.175179166666667,10.414193770511845,-11.287165,0.0,96
CAR_1_CARMEN_S_PLANT-APND,0.0,0.0,0.0,0.0,96
CDPO_6_TOT_GEN-APND,0.0,0.0,0.0,0.0,96
CDR_1_CHANDLER_PLANT-APND,0.0,0.0,0.0,0.0,96
CDWR07_2_GEN-APND,-5.9522047916666665,10.341777398813234,-16.597575,0.0,96
CEDARFLS_1_AGGGEN-APND,0.0,0.0,0.0,0.0,96
CENTPD_2_BMSSX2-APND,-6.508996354166666,17.15193820233443,-10.683530000000001,0.0,96
CENTPD_2_BMSX2-APND,-6.508996354166666,17.15193820233443,-10.683530000000001,0.0,96
CENTRY_6_PL1X4-APND,-4.233834270833333,9.388903318821328,-11.65864,0.0,96
CGAP_CHPD_MIDC-APND,6.1064533333333335,13.955045752529552,-0.03735,16.045645,96
CGAP_DOPD_MIDC-APND,6.103030104166667,13.945393591493666,-0.03735,16.045645,96
CGAP_GCPD_MIDC-APND,6.154702812499999,14.064234532067182,-0.03735,16.097115000000002,96
CGR_1_COUGAR_PLANT-APND,0.0,0.0,0.0,0.0,96
CHESTN_2_CHWBX2-APND,-2.5976025,11.28144151668637,-16.80944,1.139665,96
CHESTN_2_CHWSX2-APND,-2.5976025000000003,11.281441516686362,-16.80944,1.139665,96
CIG_6_PL-APND,0.0,0.0,0.0,0.0,96
CLAP_AEPCO-APND,0.0,0.0,0.0,0.0,96
CLAP_BANCMID-APND,0.0,0.0,0.0,0.0,96
CLAP_BANCRDNG-APND,0.0,0.0,0.0,0.0,96
CLAP_BANCRSVL-APND,0.0,0.0,0.0,0.0,96
CLAP_BANCSMUD-APND,0.0,0.0,0.0,0.0,96
CLAP_BANCWASN-APND,0.0,0.0,0.0,0.0,96
CLAP_BANKPP-APND,6.976302708333333,18.082344039790193,0.0,22.98634,96
CLAP_BART-APND,9.697745416666667,18.121547284991212,0.0,29.444565,96
CLAP_BUNDLD-APND,-4.1586203125,10.623049338585211,-11.240735,0.33347,96
CLAP_CDWR07-APND,-5.9522047916666665,10.341777398813232,-16.597575,0.0,96
CLAP_CMS1-APND,-4.38363875,9.819208950372976,-10.008379999999999,0.0,96
CLAP_CMS2-APND,-4.38363875,9.819208950372973,-10.008379999999999,0.0,96
CLAP_CMS4-APND,-4.38363875,9.81920895037297,-10.008379999999999,0.0,96
CLAP_CPVERD-APND,-4.651452395833333,10.47588755351377,-10.776399999999999,0.0,96
CLAP_CRMBT1-APND,-20.195722083333333,30.35704291529096,-72.239502,0.0,24
CLAP_CRMBT2-APND,-20.195722083333333,30.35704291529096,-72.239502,0.0,24
CLAP_CSLR4S-APND,-4.651452395833333,10.475887553513767,-10.776399999999999,0.0,96
CLAP_DAC-APND,-4.1696334375,10.61936048049092,-11.194305,0.33347,96
CLAP_DIABLO-APND,-3.816252604166667,8.277389064986775,-9.224775000000001,0.0,96
CLAP_DOSMGO-APND,-3.4541267708333336,20.144997154731648,-27.786695,14.939070000000001,96
CLAP_DREWSR-APND,-4.846376041666667,10.49832516124894,-11.041889999999999,0.0,96
CLAP_EAGLEMTN-APND,-3.861602604166667,8.480768317549913,-10.751325000000001,0.0,96
CLAP_EDMONS-APND,-4.848738541666667,11.537220576898973,-15.032540000000001,0.0,96
CLAP_ENERSJ-APND,-4.454308229166666,10.525808017571109,-10.869265,0.0,96
CLAP_ESJWD2-APND,-4.454308229166666,10.525808017571109,-10.869265,0.0,96
CLAP_GARLND-APND,-5.867137916666667,11.873168137054675,-17.874145,0.0,96
CLAP_GENE_INTAKE-APND,-4.434778541666667,10.048041309484622,-10.033455,0.0,96
CLAP_GW2BT1-APND,-5.867137916666667,11.873168137054678,-17.874145,0.0,96
CLAP_HWP1-APND,10.007353437499999,18.623966670722563,0.0,35.805814999999996,96
CLAP_HWP2-APND,7.3778162499999995,13.985783095068047,0.0,23.453985,96
CLAP_HYTTHM-APND,8.2239190625,17.63829626839718,-0.06659000000000001,21.700305,96
CLAP_IRONMTN-APND,-4.0151640625,8.80480011881971,-10.519155000000001,0.0,96
CLAP_IVSLR2-APND,-4.846376041666667,10.498325161248943,-11.041889999999999,0.0,96
CLAP_IVSLRP-APND,-4.651452395833333,10.475887553513768,-10.776399999999999,0.0,96
CLAP_IVWEST-APND,-4.846376041666667,10.49832516124894,-11.041889999999999,0.0,96
CLAP_JHINDS-APND,-3.789633125,8.361195097831827,-9.703125,0.0,96
CLAP_LARKSP-APND,-3.646250208333333,11.152265113645841,-9.71223,1.613685,96
CLAP_LAROA2-APND,-4.846376041666667,10.498325161248943,-11.041889999999999,0.0,96
CLAP_LMEC-APND,9.526125,18.203216776670164,0.0,28.6266,96
CLAP_MRCHNT-APND,-4.38363875,9.819208950372973,-10.008379999999999,0.0,96
CLAP_MSLD67-APND,7.5771592708333335,13.679096278740843,0.0,34.878805,96
CLAP_OCTILO-APND,-4.4606320833333335,10.523718645335446,-10.82283,0.0,96
